name,resume_text,skills,experience,education
Candidate 91,"Candidate 91 with 16 years experience in Leadership, Kubernetes, Node.js. Education: PhD.","Leadership, Kubernetes, Node.js",14 years,Bachelors
Candidate 92,"Candidate 92 with 11 years experience in Scrum, Django, Machine Learning, C#, Statistics, Data Analysis, Communication. Education: Bachelors.","Scrum, Django, Machine Learning, C#, Statistics, Data Analysis, Communication",8 years,Masters
Candidate 93,"Candidate 93 with 16 years experience in Flask, Clinical Trials, Vue, Agile. Education: Bachelors.","Flask, Clinical Trials, Vue, Agile",5 years,Masters
Candidate 94,"Candidate 94 with 4 years experience in Customer Support, React, Node.js, Marketing, Power BI, Leadership. Education: Bachelors.","Customer Support, React, Node.js, Marketing, Power BI, Leadership",14 years,PhD
Candidate 95,"Candidate 95 with 20 years experience in Vue, Deep Learning, UI Design, CSS, Customer Support. Education: High School.","Vue, Deep Learning, UI Design, CSS, Customer Support",17 years,Bachelors
Candidate 96,"Candidate 96 with 15 years experience in Marketing, Adobe Photoshop, Machine Learning, GCP, CSS, Financial Analysis, Flask. Education: High School.","Marketing, Adobe Photoshop, Machine Learning, GCP, CSS, Financial Analysis, Flask",16 years,PhD
Candidate 97,"Candidate 97 with 2 years experience in UX Design, Docker, Java, React. Education: High School.","UX Design, Docker, Java, React",9 years,PhD
Candidate 98,"Candidate 98 with 16 years experience in Node.js, Figma, AWS, Azure, Accounting, Agile. Education: Bachelors.","Node.js, Figma, AWS, Azure, Accounting, Agile",2 years,Bachelors
Candidate 99,"Candidate 99 with 18 years experience in Clinical Trials, Problem Solving, SQL. Education: PhD.","Clinical Trials, Problem Solving, SQL",2 years,Bachelors
Candidate 100,"Candidate 100 with 16 years experience in Taxation, Financial Analysis, Collaboration, GCP, Django, C++, Vue. Education: Masters.","Taxation, Financial Analysis, Collaboration, GCP, Django, C++, Vue",19 years,High School
